Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-12-15,176.22,176.41,169.35,172.1,131063300
2021-12-16,169.3,178.02,167.81,176.2,150185800
2021-12-17,168.2,170.49,166.77,167.01,195432700
2021-12-20,166.83,167.65,164.58,165.39,107499100
2021-12-21,170.02,170.22,166.21,168.61,91185900
2021-12-22,172.62,172.84,169.19,170.06,92135300
2021-12-23,173.25,173.81,172.26,172.83,68356600
2021-12-27,177.23,177.32,174.02,174.04,74919600
2021-12-28,176.21,178.21,175.46,177.06,79144300
2021-12-29,176.3,177.52,175.08,176.25,62348900
2021-12-30,175.14,177.46,175.03,176.38,59773000
2021-12-31,174.52,176.15,174.21,175.03,64062300
2022-01-03,178.88,179.73,174.65,174.77,104487900
2022-01-04,176.61,179.79,176.04,179.49,99310400
2022-01-05,171.91,177.07,171.64,176.52,94537600
2022-01-06,169.04,172.29,168.69,169.73,96904000
2022-01-07,169.21,171.15,168.09,169.92,86709100
2022-01-10,169.23,169.53,165.28,166.17,106765600
2022-01-11,172.07,172.17,167.88,169.36,76138300
2022-01-12,172.51,174.13,171.81,173.09,74805200
2022-01-13,169.23,173.58,168.84,172.76,84505800
2022-01-14,170.09,170.79,168.15,168.39,80440800
2022-01-18,166.88,169.57,166.5,168.56,90956700
2022-01-19,163.37,168.14,163.09,167.08,94815000
2022-01-20,161.68,166.76,161.36,164.11,91420500
2022-01-21,159.62,163.47,159.51,161.59,122848900
2022-01-24,158.84,159.51,152.04,157.27,162294600
2022-01-25,157.03,159.96,154.32,156.25,115798400
2022-01-26,156.94,161.56,155.11,160.69,108275300
2022-01-27,156.48,161.02,155.56,159.66,121954600
2022-01-28,167.4,167.42,160.0,162.86,179935700
2022-01-31,171.77,171.99,166.59,167.23,115541600
2022-02-01,171.61,171.83,169.35,171.02,86213900
2022-02-02,172.82,172.86,170.35,171.74,84914300
2022-02-03,169.93,173.21,169.16,171.48,89418100
2022-02-04,169.64,171.32,167.96,168.94,82465400
2022-02-07,168.92,171.18,168.22,170.1,77251200
2022-02-08,172.04,172.55,168.7,168.99,74829200
2022-02-09,173.47,173.83,172.11,173.24,71285000
2022-02-10,169.38,172.68,168.81,171.36,90865900
2022-02-11,165.95,170.32,165.36,169.58,98670700
2022-02-14,166.19,166.88,163.9,164.7,86185500
2022-02-15,170.03,170.19,167.54,168.24,62527400
2022-02-16,169.8,170.58,167.34,169.11,61177400
2022-02-17,166.19,169.17,165.78,168.3,69589300
2022-02-18,164.63,167.82,163.54,167.11,82772700
2022-02-22,161.7,164.03,159.56,162.35,91162800
2022-02-23,157.52,163.5,157.2,162.9,90009200
2022-02-24,160.15,160.25,149.58,150.15,141147500
2022-02-25,162.22,162.49,158.3,161.23,91974200
2022-02-28,162.49,162.78,159.84,160.46,95056600
2022-03-01,160.6,163.94,159.39,162.07,83474400
2022-03-02,163.9,164.69,160.35,161.77,79724800
2022-03-03,163.58,166.22,162.91,165.78,76678400
2022-03-04,160.57,162.91,159.52,161.87,83737200
2022-03-07,156.76,162.39,156.5,160.76,96418800
2022-03-08,154.93,160.28,153.32,156.29,131148300
2022-03-09,160.35,160.8,156.87,158.91,91454900
2022-03-10,155.99,157.83,153.49,157.65,105342000
2022-03-11,152.26,156.74,152.04,156.4,96970100
2022-03-14,148.22,151.66,147.71,149.04,108732100
2022-03-15,152.62,153.09,147.98,148.49,92964300
2022-03-16,157.05,157.45,152.0,154.55,102300200
2022-03-17,158.06,158.43,155.12,156.08,75615400
2022-03-18,161.37,161.86,157.21,157.95,123511700
2022-03-21,162.74,163.7,160.41,160.9,95811400
2022-03-22,166.13,166.72,162.28,162.87,81532000
2022-03-23,167.5,169.89,164.98,165.31,98062700
2022-03-24,171.29,171.36,167.5,168.33,90131400
2022-03-25,171.93,172.49,170.0,171.11,80546200
2022-03-28,172.8,172.93,169.26,169.42,90371900
2022-03-29,176.11,176.16,173.53,173.87,100589400
2022-03-30,174.94,176.75,173.88,175.7,92633200
2022-03-31,171.83,175.19,171.62,175.0,103049300
2022-04-01,171.53,172.09,169.2,171.26,78751300
2022-04-04,175.59,175.64,171.66,171.79,76468400
2022-04-05,172.27,175.46,171.64,174.67,73401800
2022-04-06,169.09,170.86,167.42,169.61,89058800
2022-04-07,169.4,170.6,167.14,168.43,77594700
2022-04-08,167.38,169.04,166.5,169.04,76575500
2022-04-11,163.11,166.33,162.86,166.02,72246700
2022-04-12,164.99,167.16,163.98,165.34,79265200
2022-04-13,167.68,168.31,164.11,164.72,70618900
2022-04-14,162.65,168.54,162.41,167.9,75329400
2022-04-18,162.44,163.94,160.96,161.31,69023900
2022-04-19,164.73,165.14,161.3,162.39,67723800
2022-04-20,164.56,166.19,163.45,166.07,67929800
2022-04-21,163.77,168.79,163.26,166.22,87227800
2022-04-22,159.21,165.19,158.92,163.81,84882400
2022-04-25,160.28,160.57,155.93,158.55,96046400
2022-04-26,154.3,159.75,154.22,159.66,95623200
2022-04-27,154.07,157.24,152.9,153.42,88063200
2022-04-28,161.03,161.9,156.4,156.71,130216800
2022-04-29,155.14,163.55,154.74,159.26,131747600
2022-05-02,155.44,155.71,150.83,154.21,123055300
2022-05-03,156.94,158.15,153.83,155.63,88966500
2022-05-04,163.37,163.83,156.72,157.12,108256500
2022-05-05,154.27,161.46,152.48,161.24,130525300
2022-05-06,155.0,157.13,151.94,153.75,116124600
2022-05-09,149.86,153.57,149.29,152.68,131577900
2022-05-10,152.27,154.47,150.71,153.27,115366700
2022-05-11,144.38,153.2,143.7,151.27,142689800
2022-05-12,140.49,144.08,136.79,140.7,182602000
2022-05-13,144.98,145.95,141.03,142.49,113990900
2022-05-16,143.43,145.38,142.09,143.44,86643800
2022-05-17,147.08,147.6,144.55,146.7,78336300
2022-05-18,138.78,145.22,137.87,144.72,109742900
2022-05-19,135.36,139.61,134.62,137.85,136095600
2022-05-20,135.6,138.66,130.69,137.07,137426100
2022-05-23,141.04,141.18,135.65,135.79,117726300
2022-05-24,138.32,139.91,135.34,138.77,104132700
2022-05-25,138.48,139.73,136.33,136.42,92482700
2022-05-26,141.7,142.25,135.15,135.4,90601500
2022-05-27,147.47,147.51,143.15,143.28,90978500
2022-05-31,146.68,148.48,144.71,146.91,103718400
2022-06-01,146.55,149.54,145.54,147.73,74286600
2022-06-02,149.02,149.08,144.73,145.69,72348100
2022-06-03,143.27,145.82,142.37,144.77,88570300
2022-06-06,144.02,146.42,142.8,144.9,71598400
2022-06-07,146.55,146.84,142.01,142.26,67808200
2022-06-08,145.81,147.7,145.32,146.43,53950200
2022-06-09,140.57,145.8,140.46,144.95,69473000
2022-06-10,135.14,138.72,135.07,138.25,91437900
2022-06-13,129.97,133.24,129.53,130.94,122207100
2022-06-14,130.84,131.95,129.57,131.2,84784300
2022-06-15,133.47,135.35,130.24,132.34,91533000
2022-06-16,128.17,130.47,127.17,130.16,108123900
2022-06-17,129.65,131.15,127.93,128.18,134520300
2022-06-21,133.9,135.07,131.39,131.49,81000500
2022-06-22,133.39,135.76,131.97,132.84,73409200
2022-06-23,136.27,136.58,133.66,134.84,72433800
2022-06-24,139.61,139.85,137.74,137.87,89116800
2022-06-27,139.61,141.41,138.93,140.63,70207900
2022-06-28,135.45,141.34,135.33,140.07,67083400
2022-06-29,137.21,138.63,134.69,135.47,66242400
2022-06-30,134.74,136.36,131.83,135.26,98964500
2022-07-01,136.92,137.02,133.69,134.07,71051600
2022-07-05,139.51,139.56,134.94,135.77,73353800
2022-07-06,140.85,142.03,139.03,139.3,74064300
2022-07-07,144.23,144.43,141.2,141.21,66253700
2022-07-08,144.91,145.41,142.9,143.15,64547800
2022-07-11,142.77,144.51,141.7,143.56,63141600
2022-07-12,143.75,146.3,142.95,143.65,77588800
2022-07-13,143.38,144.33,140.06,140.92,71185600
2022-07-14,146.32,146.79,141.17,141.99,78140700
2022-07-15,147.99,148.67,146.05,147.61,76259900
2022-07-18,144.94,149.37,144.57,148.55,81420900
2022-07-19,148.81,149.04,144.78,145.78,82982400
2022-07-20,150.82,151.49,148.19,148.93,64823400
2022-07-21,153.1,153.31,149.74,152.26,65086600
2022-07-22,151.86,154.01,151.19,153.14,66675400
2022-07-25,150.73,152.79,150.07,151.78,53623900
2022-07-26,149.4,150.87,148.61,150.05,55138700
2022-07-27,154.52,155.05,149.95,150.37,78620700
2022-07-28,155.07,155.35,152.17,154.7,81378700
2022-07-29,160.15,161.26,157.19,158.9,101786900
2022-08-01,159.17,161.22,158.56,158.68,67829400
2022-08-02,157.69,160.06,157.32,157.78,59907000
2022-08-03,163.72,164.17,158.42,158.51,82507500
2022-08-04,163.41,164.77,162.05,163.6,55474100
2022-08-05,163.18,163.67,160.86,161.07,56697000
2022-08-08,162.71,165.61,162.04,164.19,60276900
2022-08-09,162.75,163.64,161.11,161.87,63135500
